,Unnamed: 0.1,Unnamed: 0,T_REC,USFLUXL,MEANGBL,R_VALUE,AREA,HARPNUM,NOAA_ARS,label,observation_period,prediction_period
66,66,66,2017-10-25 08:24:00,-0.2479716486960499,0.0931985274520255,-0.3699533151835782,-0.0131610727201279,7169,12685,negative,D0,D0
67,67,67,2017-10-25 10:00:00,-0.2493995520582527,0.0534885158066064,-0.4137641265804901,-0.0034312488987289,7169,12685,negative,D0,D0
68,68,68,2017-10-25 11:36:00,-0.2397668469599489,0.041893192406144,-1.420259872620072,0.0157373192446567,7169,12685,negative,D0,D0
69,69,69,2017-10-25 13:12:00,-0.2327835507976408,0.028868308586447,-1.420259872620072,0.0222348857367515,7169,12685,negative,D0,D0
70,70,70,2017-10-25 14:48:00,-0.2309449969779737,0.0468172338501764,-1.420259872620072,0.0372450015107625,7169,12685,negative,D0,D0
71,71,71,2017-10-25 16:24:00,-0.2294808131188475,0.0444346331514511,-1.420259872620072,0.0472719817035235,7169,12685,negative,D0,D0
72,72,72,2017-10-25 18:00:00,-0.224880558028234,0.0307743891454266,-1.420259872620072,0.0557928404887133,7169,12685,negative,D0,D0
73,73,73,2017-10-25 19:48:00,-0.2224794233411072,0.0285506284932833,0.117730190629415,0.0650234761396209,7169,12685,negative,D0,D0
74,74,74,2017-10-25 21:24:00,-0.2228445599618142,0.0463407137104313,-1.420259872620072,0.066524574761704,7169,12685,negative,D0,D0
75,75,75,2017-10-25 23:00:00,-0.2290489912660062,-0.0276787479966299,-0.0033259987567889,0.0735460715005063,7169,12685,negative,D0,D0
76,76,76,2017-10-26 00:36:00,-0.2325073899971521,-0.0183071852483108,-0.7227456385376585,0.0714119035354841,7169,12685,negative,D0,D0
77,77,77,2017-10-26 02:12:00,-0.2285168151337575,0.0458641935706863,-1.420259872620072,0.0651522108301691,7169,12685,negative,D0,D0
78,78,78,2017-10-26 03:48:00,-0.2306540068741152,0.114165413600807,-1.420259872620072,0.0518687272875166,7169,12685,negative,D0,D0
79,79,79,2017-10-26 05:24:00,-0.2336481271639126,0.2093106015032311,-1.420259872620072,0.0370465665594354,7169,12685,negative,D0,D0
80,80,80,2017-10-26 07:00:00,-0.2320369559959142,0.2583921758969687,-0.0932534537293976,0.0332954637441157,7169,12685,negative,D0,D0
81,81,81,2017-10-26 08:36:00,-0.2348188960016482,0.2747527006948816,-0.1681929995399048,0.0340005279543619,7169,12685,negative,D0,D0
82,82,82,2017-10-26 10:12:00,-0.2342120137561972,0.3046146294522365,-1.420259872620072,0.032714793674167,7169,12685,negative,D0,D0
83,83,83,2017-10-26 11:48:00,-0.2301090532917931,0.2730054601824833,-1.420259872620072,0.0397206015424752,7169,12685,negative,D0,D0
84,84,84,2017-10-26 13:24:00,-0.2183718928398156,0.2985787076821328,-0.2829081504344505,0.0601991504946365,7169,12685,negative,D0,D0
85,85,85,2017-10-26 15:00:00,-0.208557598724777,0.2912720655393758,-1.420259872620072,0.0764139524758134,7169,12685,negative,D0,D0
86,86,86,2017-10-26 16:36:00,-0.202815487274696,0.3311409172313767,-1.420259872620072,0.0820639536979272,7169,12685,negative,D0,D0
87,87,87,2017-10-26 18:12:00,-0.2041863118088343,0.2712582196700849,-0.0874888732824357,0.092900114411678,7169,12685,negative,D0,D0
88,88,88,2017-10-26 19:48:00,-0.1909105411827052,0.2479087328225782,-0.2068156885345509,0.1344399288376647,7169,12685,negative,D0,D0
89,89,89,2017-10-26 21:24:00,-0.1896158217526529,0.2113755221087926,0.1275299773892505,0.1377986884801895,7169,12685,negative,D0,D0
90,90,90,2017-10-26 23:00:00,-0.1888864811718282,0.232977768443901,0.0035914977795655,0.1465669088462992,7169,12685,negative,D0,D0
91,91,91,2017-10-27 00:36:00,-0.1895205038404275,0.2212236049968567,-0.0673128417180683,0.1503603651096366,7169,12685,negative,D0,D0
92,92,92,2017-10-27 02:12:00,-0.1910931561260881,0.224559245975072,-1.420259872620072,0.1444287721822504,7169,12685,negative,D0,D0
93,93,93,2017-10-27 03:48:00,-0.1910071648197557,0.3069972301509618,0.2681857402951255,0.1377346932401361,7169,12685,negative,D0,D0
94,94,94,2017-10-27 05:24:00,-0.1915087496846758,0.3227223947625477,-0.1111236531149802,0.1330262038233662,7169,12685,negative,D0,D0
95,95,95,2017-10-27 07:00:00,-0.2002696036641113,0.2799944222320771,-1.420259872620072,0.1326715014431179,7169,12685,negative,D0,D0
96,96,96,2017-10-27 08:36:00,-0.2069599511353234,0.279517902092332,-0.3157662589821346,0.1282470220345601,7169,12685,negative,D0,D0
97,97,97,2017-10-27 10:12:00,-0.210527750953593,0.3352707584425002,-0.5146442844023269,0.1152562301086144,7169,12685,negative,D0,D0
98,98,98,2017-10-27 11:48:00,-0.2055327939015921,0.3741865698550111,-0.1895219471936648,0.1060812799404898,7169,12685,negative,D0,D0
99,99,99,2017-10-27 13:24:00,-0.2044260988463407,0.3379710392343887,-0.0367605653491692,0.1205158723804481,7169,12685,negative,D0,D0
100,100,100,2017-10-27 15:00:00,-0.2020302803245728,0.4224739440158405,0.1828699496800867,0.1157347063691271,7169,12685,negative,D0,D0
101,101,101,2017-10-27 16:36:00,-0.1964868255800105,0.4100844203824698,-1.420259872620072,0.1305558127567501,7169,12685,negative,D0,D0
102,102,102,2017-10-27 18:12:00,-0.196579345510468,0.427715665553036,0.1442472606854405,0.1357865580737326,7169,12685,negative,D0,D0
103,103,103,2017-10-27 19:48:00,-0.1901593763440911,0.3700567286438875,0.1534705894005799,0.1510976749677241,7169,12685,negative,D0,D0
104,104,104,2017-10-27 21:24:00,-0.1977469433022001,0.3069972301509618,0.1165772745400225,0.1540689902725338,7169,12685,negative,D0,D0
105,105,105,2017-10-27 23:00:00,-0.2024999681973392,0.2760234210675348,0.1794112014119093,0.1430569667895417,7169,12685,negative,D0,D0
106,106,106,2017-10-28 00:36:00,-0.2126792124009669,0.2650634578533993,-0.2892491889261089,0.1218582227874727,7169,12685,negative,D0,D0
